epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,276.536,1.41261,2.92348,0.01028,0.50602,0.39141,0.42118,0.22982,1.59638,2.31609,0.01299,0.000554604,0.000554604,0.000554604
2,534.471,1.78898,2.34225,0.01446,0.56915,0.44826,0.46586,0.22721,1.74409,2.45129,0.01464,0.00109928,0.00109928,0.00109928
3,790.855,1.87824,2.3866,0.01538,0.50917,0.49491,0.47521,0.23639,1.80132,2.17042,0.01481,0.00163295,0.00163295,0.00163295
4,1048.29,1.86662,2.30079,0.01466,0.50253,0.47838,0.48066,0.24872,1.67444,2.09536,0.01394,0.00161749,0.00161749,0.00161749
5,1306.54,1.73376,2.17542,0.01389,0.53126,0.54517,0.51061,0.27076,1.61573,2.13835,0.01309,0.00160099,0.00160099,0.00160099
6,1564.41,1.71443,2.00756,0.01352,0.52712,0.53011,0.51954,0.27446,1.6475,1.92888,0.01312,0.00158448,0.00158448,0.00158448
7,1821.78,1.64027,1.84399,0.01275,0.67502,0.5433,0.59284,0.33046,1.53786,1.72071,0.01255,0.00156798,0.00156798,0.00156798
8,2080.14,1.60526,1.755,0.01256,0.45851,0.51776,0.47942,0.29188,1.51144,1.91702,0.01273,0.00155148,0.00155148,0.00155148
9,2338.29,1.62675,1.81163,0.01248,0.58231,0.57435,0.60034,0.3512,1.48601,1.85755,0.01208,0.00153497,0.00153497,0.00153497
10,2596.88,1.61485,1.73934,0.01215,0.60683,0.57659,0.61163,0.35378,1.4642,1.58984,0.01138,0.00151847,0.00151847,0.00151847
11,2855.79,1.53526,1.6839,0.01186,0.67226,0.58471,0.62392,0.36432,1.43757,1.7788,0.01172,0.00150197,0.00150197,0.00150197
12,3113.69,1.54931,1.64148,0.01149,0.65721,0.58359,0.6312,0.3653,1.4126,1.64801,0.0108,0.00148546,0.00148546,0.00148546
13,3371.8,1.5131,1.54522,0.01153,0.69286,0.59205,0.69267,0.42784,1.38424,1.51619,0.01085,0.00146896,0.00146896,0.00146896
14,3629.53,1.5134,1.58674,0.01188,0.66876,0.63312,0.66446,0.39522,1.38564,1.44401,0.01077,0.00145246,0.00145246,0.00145246
15,3887.27,1.48505,1.50924,0.01138,0.68181,0.62495,0.67678,0.40723,1.32724,1.39,0.01023,0.00143595,0.00143595,0.00143595
16,4144,1.49557,1.46712,0.01132,0.69037,0.62372,0.68359,0.42179,1.34443,1.55728,0.01002,0.00141945,0.00141945,0.00141945
17,4401.76,1.47086,1.45459,0.01079,0.70087,0.63667,0.69562,0.41941,1.39232,1.4789,0.01066,0.00140295,0.00140295,0.00140295
18,4659.77,1.45565,1.41842,0.0106,0.7141,0.60957,0.68638,0.41908,1.35832,1.53079,0.01054,0.00138644,0.00138644,0.00138644
19,4917.52,1.44134,1.36879,0.0109,0.71406,0.67801,0.71086,0.43514,1.31981,1.3062,0.01018,0.00136994,0.00136994,0.00136994
20,5175.77,1.41003,1.33694,0.01042,0.68964,0.60428,0.66344,0.40318,1.38691,1.46882,0.01091,0.00135344,0.00135344,0.00135344
21,5434.29,1.39952,1.32879,0.01045,0.71093,0.66948,0.70887,0.44144,1.33626,1.30278,0.0103,0.00133693,0.00133693,0.00133693
22,5693.56,1.39257,1.31469,0.01018,0.72677,0.66693,0.72277,0.45368,1.32829,1.27499,0.00976,0.00132043,0.00132043,0.00132043
23,5952.08,1.39369,1.32522,0.0103,0.68856,0.70401,0.7361,0.4454,1.38816,1.2846,0.01042,0.00130393,0.00130393,0.00130393
24,6208.44,1.37934,1.26956,0.00991,0.75142,0.63949,0.72684,0.45972,1.28158,1.26105,0.00935,0.00128742,0.00128742,0.00128742
25,6464.36,1.38174,1.28393,0.01005,0.72798,0.69967,0.74038,0.48529,1.28936,1.25841,0.00982,0.00127092,0.00127092,0.00127092
26,6720.33,1.36474,1.21174,0.01018,0.75683,0.69542,0.77777,0.49487,1.31985,1.236,0.0096,0.00125442,0.00125442,0.00125442
27,6977.02,1.35074,1.24996,0.00989,0.71254,0.66081,0.72075,0.46003,1.24355,1.35305,0.00913,0.00123791,0.00123791,0.00123791
28,7233.1,1.35557,1.21751,0.00997,0.68461,0.6636,0.67849,0.44256,1.33232,1.66464,0.0098,0.00122141,0.00122141,0.00122141
29,7489.49,1.36691,1.2396,0.00984,0.73475,0.73452,0.76505,0.48406,1.2879,1.27943,0.00974,0.00120491,0.00120491,0.00120491
30,7745.97,1.33974,1.22524,0.00946,0.65598,0.69653,0.67829,0.44508,1.24663,1.37005,0.00939,0.0011884,0.0011884,0.0011884
31,8003.21,1.33315,1.16525,0.00942,0.71962,0.64733,0.71895,0.46485,1.24137,1.27073,0.00909,0.0011719,0.0011719,0.0011719
32,8260.48,1.29311,1.11029,0.0091,0.7913,0.68512,0.77097,0.50696,1.21096,1.22349,0.00892,0.0011554,0.0011554,0.0011554
33,8520.94,1.31706,1.1655,0.00968,0.74409,0.67988,0.7382,0.49384,1.22388,1.17919,0.00868,0.00113889,0.00113889,0.00113889
34,8779.5,1.29032,1.13876,0.00934,0.7875,0.73905,0.80023,0.52797,1.25019,1.05877,0.00919,0.00112239,0.00112239,0.00112239
35,9036.72,1.28903,1.10872,0.00922,0.74274,0.72955,0.77993,0.48937,1.31839,1.15771,0.00947,0.00110589,0.00110589,0.00110589
36,9294.93,1.28744,1.09095,0.00925,0.77856,0.71375,0.77972,0.5097,1.20691,1.17228,0.00935,0.00108938,0.00108938,0.00108938
37,9552.52,1.2893,1.09014,0.00925,0.76954,0.72348,0.78001,0.50912,1.19556,1.23228,0.00885,0.00107288,0.00107288,0.00107288
38,9809.1,1.28265,1.10881,0.00938,0.7499,0.74715,0.78479,0.52474,1.22112,1.13956,0.00902,0.00105638,0.00105638,0.00105638
39,10067.6,1.26777,1.06803,0.00897,0.7731,0.72573,0.79878,0.5245,1.19334,1.13154,0.00873,0.00103987,0.00103987,0.00103987
40,10325.4,1.27409,1.1093,0.00888,0.74619,0.73807,0.76503,0.50368,1.24349,1.1854,0.00896,0.00102337,0.00102337,0.00102337
41,10584.4,1.22494,1.0454,0.00858,0.79432,0.74299,0.80685,0.5347,1.21968,1.07651,0.00916,0.00100687,0.00100687,0.00100687
42,10843.5,1.24449,1.02652,0.00883,0.76555,0.7738,0.80561,0.54184,1.18272,1.06011,0.00853,0.000990365,0.000990365,0.000990365
43,11102.5,1.26286,1.03295,0.00892,0.82837,0.73358,0.82791,0.55605,1.19762,0.95702,0.00879,0.000973861,0.000973861,0.000973861
44,11362.1,1.2258,1.0302,0.00833,0.80232,0.74446,0.81547,0.54105,1.20275,1.0575,0.00876,0.000957358,0.000957358,0.000957358
45,11621.5,1.2265,0.98396,0.00828,0.80507,0.73284,0.81917,0.54251,1.18561,1.08061,0.00849,0.000940855,0.000940855,0.000940855
46,11878.9,1.22331,1.00035,0.00829,0.79905,0.75174,0.82267,0.55118,1.15849,1.04049,0.00843,0.000924352,0.000924352,0.000924352
47,12138.8,1.19856,0.98792,0.00837,0.79104,0.75324,0.81487,0.54156,1.17532,1.05584,0.00841,0.000907848,0.000907848,0.000907848
48,12397.3,1.18994,0.96433,0.00817,0.79726,0.75191,0.81959,0.55462,1.17231,1.06391,0.00818,0.000891345,0.000891345,0.000891345
49,12655.8,1.19412,0.92579,0.00801,0.79348,0.74313,0.81601,0.55339,1.17065,1.01773,0.00836,0.000874842,0.000874842,0.000874842
50,12915,1.18946,0.94758,0.0081,0.78726,0.75386,0.8138,0.55663,1.14758,1.05382,0.00783,0.000858338,0.000858338,0.000858338
51,13173.7,1.17945,0.91087,0.00786,0.80762,0.77399,0.82572,0.56547,1.16651,0.97502,0.00807,0.000841835,0.000841835,0.000841835
52,13430.6,1.16252,0.88502,0.00783,0.78806,0.81333,0.83536,0.57563,1.13929,0.97832,0.00806,0.000825332,0.000825332,0.000825332
53,13689.7,1.1597,0.90824,0.00808,0.79842,0.73324,0.81154,0.53721,1.14029,1.00129,0.00758,0.000808828,0.000808828,0.000808828
54,13949.2,1.1653,0.90761,0.00789,0.77583,0.77455,0.82369,0.56839,1.1584,0.96074,0.00788,0.000792325,0.000792325,0.000792325
55,14208.5,1.16208,0.89328,0.0075,0.79669,0.75516,0.81636,0.56553,1.17099,0.98056,0.0082,0.000775822,0.000775822,0.000775822
56,14466.4,1.15574,0.84979,0.00744,0.81535,0.77979,0.84577,0.58176,1.13487,0.98321,0.00803,0.000759318,0.000759318,0.000759318
57,14726.5,1.14494,0.85218,0.00771,0.80702,0.77233,0.83559,0.57107,1.13026,1.08393,0.00801,0.000742815,0.000742815,0.000742815
58,14984.2,1.15144,0.89005,0.00778,0.83257,0.76612,0.84821,0.58432,1.14392,1.01595,0.00797,0.000726312,0.000726312,0.000726312
59,15242.9,1.11057,0.83732,0.0075,0.82752,0.79429,0.85662,0.5965,1.12067,0.98465,0.00772,0.000709809,0.000709809,0.000709809
60,15500.9,1.11811,0.82682,0.00743,0.8239,0.77415,0.84111,0.56615,1.16607,0.97712,0.00818,0.000693305,0.000693305,0.000693305
61,15760.1,1.12206,0.86,0.00772,0.86079,0.77175,0.85697,0.60128,1.08847,0.96529,0.00734,0.000676802,0.000676802,0.000676802
62,16018.9,1.12823,0.8366,0.00733,0.81549,0.7841,0.84968,0.59402,1.11592,1.02958,0.00778,0.000660299,0.000660299,0.000660299
63,16275.9,1.11878,0.82008,0.00747,0.84166,0.74027,0.83668,0.58164,1.1554,0.97235,0.00802,0.000643795,0.000643795,0.000643795
64,16534.7,1.1228,0.81292,0.00744,0.80756,0.76315,0.83495,0.59018,1.14429,0.94627,0.00808,0.000627292,0.000627292,0.000627292
65,16793.7,1.11843,0.80684,0.00736,0.83672,0.78784,0.85387,0.60618,1.12844,1.00197,0.00774,0.000610789,0.000610789,0.000610789
66,17052.9,1.08285,0.77999,0.00734,0.81898,0.78223,0.85696,0.60548,1.12257,0.88353,0.00748,0.000594286,0.000594286,0.000594286
67,17311,1.07182,0.77214,0.00714,0.83253,0.78887,0.84761,0.60386,1.10952,0.98977,0.00749,0.000577782,0.000577782,0.000577782
68,17571.1,1.09527,0.78077,0.00726,0.84188,0.75669,0.83959,0.5845,1.09857,0.97507,0.00743,0.000561279,0.000561279,0.000561279
69,17830.8,1.0699,0.77151,0.00714,0.85747,0.7849,0.85255,0.60291,1.12511,0.92246,0.00757,0.000544776,0.000544776,0.000544776
70,18089,1.09769,0.75965,0.00716,0.84517,0.79701,0.86252,0.61217,1.09718,0.9219,0.00755,0.000528272,0.000528272,0.000528272
